codigo,TipoVia,NombreVia,barrio,via,ViaCatastro
AL,ALAMEDA,CAPUCHINOS,MURCIA,"ALAMEDA CAPUCHINOS, MURCIA",CAPUCHINOS(ALAMEDA) en MURCIA
AL,ALAMEDA,PINOS,CHURRA,"ALAMEDA PINOS, CHURRA",PINOS(ALAMEDA) en CHURRA
AL,ALAMEDA,PINOS,PUNTAL EL,"ALAMEDA PINOS, PUNTAL EL",PINOS(ALAMEDA) en PUNTAL EL
AV,AVENIDA,1 PP INDUS SS 4-1,SANGONERA SECA,"AVENIDA 1 PP INDUS SS 4-1, SANGONERA SECA",1 PP INDUS SS 4-1(AVENIDA) en SANGONERA SECA
AV,AVENIDA,ABENARABI,MURCIA,"AVENIDA ABENARABI, MURCIA",ABENARABI(AVENIDA) en MURCIA
AV,AVENIDA,ALCANTARILLA,NONDUERMAS,"AVENIDA ALCANTARILLA, NONDUERMAS",ALCANTARILLA(AVENIDA) en NONDUERMAS
AV,AVENIDA,ALEJANDRO VALVERDE,ESPARRAGAL,"AVENIDA ALEJANDRO VALVERDE, ESPARRAGAL",ALEJANDRO VALVERDE(AVENIDA) en ESPARRAGAL
AV,AVENIDA,ALFONSO AVILES OTONS,GEA Y TRUYOLS,"AVENIDA ALFONSO AVILES OTONS, GEA Y TRUYOLS",ALFONSO AVILES OTONS(AVENIDA) en GEA Y TRUYOLS
AV,AVENIDA,ALFONSO X EL SABIO,MONTEAGUDO,"AVENIDA ALFONSO X EL SABIO, MONTEAGUDO",ALFONSO X EL SABIO(AVENIDA) en MONTEAGUDO
AV,AVENIDA,ALHAMA DE MURCIA,SANGONERA SECA,"AVENIDA ALHAMA DE MURCIA, SANGONERA SECA",ALHAMA DE MURCIA(AVENIDA) en SANGONERA SECA
AV,AVENIDA,ALICANTE,CHURRA,"AVENIDA ALICANTE, CHURRA",ALICANTE(AVENIDA) en CHURRA
AV,AVENIDA,ALICANTE,ESPARRAGAL,"AVENIDA ALICANTE, ESPARRAGAL",ALICANTE(AVENIDA) en ESPARRAGAL
AV,AVENIDA,ALICANTE,MONTEAGUDO,"AVENIDA ALICANTE, MONTEAGUDO",ALICANTE(AVENIDA) en MONTEAGUDO
AV,AVENIDA,ALICANTE,ZARANDONA,"AVENIDA ALICANTE, ZARANDONA",ALICANTE(AVENIDA) en ZARANDONA
AV,AVENIDA,ALMIRANTE LOAYSA,MURCIA,"AVENIDA ALMIRANTE LOAYSA, MURCIA",ALMIRANTE LOAYSA(AVENIDA) en MURCIA
AV,AVENIDA,AMBAR,SUCINA,"AVENIDA AMBAR, SUCINA",AMBAR(AVENIDA) en SUCINA
AV,AVENIDA,ANTONETE GALVEZ,MURCIA,"AVENIDA ANTONETE GALVEZ, MURCIA",ANTONETE GALVEZ(AVENIDA) en MURCIA
AV,AVENIDA,ANTONIO MARTINEZ GUIRAO,MURCIA,"AVENIDA ANTONIO MARTINEZ GUIRAO, MURCIA",ANTONIO MARTINEZ GUIRAO(AVENIDA) en MURCIA
AV,AVENIDA,ARQUITECTO M ANGEL BELOQU,MURCIA,"AVENIDA ARQUITECTO M ANGEL BELOQU, MURCIA",ARQUITECTO M ANGEL BELOQU(AVENIDA) en MURCIA
AV,AVENIDA,BALSICAS,GEA Y TRUYOLS,"AVENIDA BALSICAS, GEA Y TRUYOLS",BALSICAS(AVENIDA) en GEA Y TRUYOLS
AV,AVENIDA,BARRANCO DEL,SUCINA,"AVENIDA BARRANCO DEL, SUCINA",BARRANCO DEL(AVENIDA) en SUCINA
AV,AVENIDA,BENIEL,ALQUERIAS,"AVENIDA BENIEL, ALQUERIAS",BENIEL(AVENIDA) en ALQUERIAS
AV,AVENIDA,BURGOS,EL PALMAR,"AVENIDA BURGOS, EL PALMAR",BURGOS(AVENIDA) en EL PALMAR
AV,AVENIDA,CABEZO TORRES,ZARANDONA,"AVENIDA CABEZO TORRES, ZARANDONA",CABEZO TORRES(AVENIDA) en ZARANDONA
AV,AVENIDA,CANAL DEL TAIBILLA,PUNTAL EL,"AVENIDA CANAL DEL TAIBILLA, PUNTAL EL",CANAL DEL TAIBILLA(AVENIDA) en PUNTAL EL
AV,AVENIDA,CANALEJAS,MURCIA,"AVENIDA CANALEJAS, MURCIA",CANALEJAS(AVENIDA) en MURCIA
AV,AVENIDA,CANTEROS DE EL PALMAR,EL PALMAR,"AVENIDA CANTEROS DE EL PALMAR, EL PALMAR",CANTEROS DE EL PALMAR(AVENIDA) en EL PALMAR
AV,AVENIDA,CASILLAS CORIA,CASILLAS,"AVENIDA CASILLAS CORIA, CASILLAS",CASILLAS CORIA(AVENIDA) en CASILLAS
AV,AVENIDA,CASTILLO DE LA ASOMADA,EL PALMAR,"AVENIDA CASTILLO DE LA ASOMADA, EL PALMAR",CASTILLO DE LA ASOMADA(AVENIDA) en EL PALMAR
AV,AVENIDA,CASTILLO DE MONTEAGUDO,ESPARRAGAL,"AVENIDA CASTILLO DE MONTEAGUDO, ESPARRAGAL",CASTILLO DE MONTEAGUDO(AVENIDA) en ESPARRAGAL
AV,AVENIDA,CATEDRAT EUSEBIO ARANDA,CHURRA,"AVENIDA CATEDRAT EUSEBIO ARANDA, CHURRA",CATEDRAT EUSEBIO ARANDA(AVENIDA) en CHURRA
AV,AVENIDA,CEBADA,COBATILLAS,"AVENIDA CEBADA, COBATILLAS",CEBADA(AVENIDA) en COBATILLAS
AV,AVENIDA,CHOPOS,EL PALMAR,"AVENIDA CHOPOS, EL PALMAR",CHOPOS(AVENIDA) en EL PALMAR
AV,AVENIDA,CIUDAD ALMERIA,MURCIA,"AVENIDA CIUDAD ALMERIA, MURCIA",CIUDAD ALMERIA(AVENIDA) en MURCIA
AV,AVENIDA,CIUDAD DE ARANJUEZ,MURCIA,"AVENIDA CIUDAD DE ARANJUEZ, MURCIA",CIUDAD DE ARANJUEZ(AVENIDA) en MURCIA
AV,AVENIDA,CIUDAD MURCIA,EL BOJAR,"AVENIDA CIUDAD MURCIA, EL BOJAR",CIUDAD MURCIA(AVENIDA) en EL BOJAR
AV,AVENIDA,CIUDAD SANITARIA,EL PALMAR,"AVENIDA CIUDAD SANITARIA, EL PALMAR",CIUDAD SANITARIA(AVENIDA) en EL PALMAR
AV,AVENIDA,COLON,SANGONERA SECA,"AVENIDA COLON, SANGONERA SECA",COLON(AVENIDA) en SANGONERA SECA
AV,AVENIDA,CONCEJAL REMIGIO LOPEZ,CABEZO TORRES,"AVENIDA CONCEJAL REMIGIO LOPEZ, CABEZO TORRES",CONCEJAL REMIGIO LOPEZ(AVENIDA) en CABEZO TORRES
AV,AVENIDA,CONSTITUCION,ALJUCER,"AVENIDA CONSTITUCION, ALJUCER",CONSTITUCION(AVENIDA) en ALJUCER
AV,AVENIDA,CONSTITUCION,CABEZO TORRES,"AVENIDA CONSTITUCION, CABEZO TORRES",CONSTITUCION(AVENIDA) en CABEZO TORRES
AV,AVENIDA,CONSTITUCION,GUADALUPE,"AVENIDA CONSTITUCION, GUADALUPE",CONSTITUCION(AVENIDA) en GUADALUPE
AV,AVENIDA,CONSTITUCION,JERON.-AVILESES,"AVENIDA CONSTITUCION, JERON.-AVILESES",CONSTITUCION(AVENIDA) en JERON.-AVILESES
AV,AVENIDA,CONSTITUCION,MONTEAGUDO,"AVENIDA CONSTITUCION, MONTEAGUDO",CONSTITUCION(AVENIDA) en MONTEAGUDO
AV,AVENIDA,CONSTITUCION,MURCIA,"AVENIDA CONSTITUCION, MURCIA",CONSTITUCION(AVENIDA) en MURCIA
AV,AVENIDA,CONSTITUCION,SANGONERA SECA,"AVENIDA CONSTITUCION, SANGONERA SECA",CONSTITUCION(AVENIDA) en SANGONERA SECA
AV,AVENIDA,CONSTITUCION,SANGONERA VERDE,"AVENIDA CONSTITUCION, SANGONERA VERDE",CONSTITUCION(AVENIDA) en SANGONERA VERDE
AV,AVENIDA,CONSTITUCION,SUCINA,"AVENIDA CONSTITUCION, SUCINA",CONSTITUCION(AVENIDA) en SUCINA
AV,AVENIDA,CONSTITUCION,TORREAGUERA,"AVENIDA CONSTITUCION, TORREAGUERA",CONSTITUCION(AVENIDA) en TORREAGUERA
AV,AVENIDA,COSTERA NORTE,GUADALUPE,"AVENIDA COSTERA NORTE, GUADALUPE",COSTERA NORTE(AVENIDA) en GUADALUPE
AV,AVENIDA,COSTERA SUR,SANTO ANGEL,"AVENIDA COSTERA SUR, SANTO ANGEL",COSTERA SUR(AVENIDA) en SANTO ANGEL
AV,AVENIDA,CRISTO RESUCITADO,SUCINA,"AVENIDA CRISTO RESUCITADO, SUCINA",CRISTO RESUCITADO(AVENIDA) en SUCINA
AV,AVENIDA,CRONISTA CARLOS VALCARCEL,MURCIA,"AVENIDA CRONISTA CARLOS VALCARCEL, MURCIA",CRONISTA CARLOS VALCARCEL(AVENIDA) en MURCIA
AV,AVENIDA,CUARTEL,TORREAGUERA,"AVENIDA CUARTEL, TORREAGUERA",CUARTEL(AVENIDA) en TORREAGUERA
AV,AVENIDA,CULTURA,GARRES LOS,"AVENIDA CULTURA, GARRES LOS",CULTURA(AVENIDA) en GARRES LOS
AV,AVENIDA,DE CHURRA,CHURRA,"AVENIDA DE CHURRA, CHURRA",DE CHURRA(AVENIDA) en CHURRA
AV,AVENIDA,DE LA ALBERCA,ALGEZARES,"AVENIDA DE LA ALBERCA, ALGEZARES",DE LA ALBERCA(AVENIDA) en ALGEZARES
AV,AVENIDA,DE LA ALBERCA,EL PALMAR,"AVENIDA DE LA ALBERCA, EL PALMAR",DE LA ALBERCA(AVENIDA) en EL PALMAR
AV,AVENIDA,DE LA AZACAYA,DOLORES LOS,"AVENIDA DE LA AZACAYA, DOLORES LOS",DE LA AZACAYA(AVENIDA) en DOLORES LOS
AV,AVENIDA,DE LA INMACULADA,MURCIA,"AVENIDA DE LA INMACULADA, MURCIA",DE LA INMACULADA(AVENIDA) en MURCIA
AV,AVENIDA,DE LA JUVENTUD,CABEZO TORRES,"AVENIDA DE LA JUVENTUD, CABEZO TORRES",DE LA JUVENTUD(AVENIDA) en CABEZO TORRES
AV,AVENIDA,DE LA LIBERTAD,EL PALMAR,"AVENIDA DE LA LIBERTAD, EL PALMAR",DE LA LIBERTAD(AVENIDA) en EL PALMAR
AV,AVENIDA,DEL COMUN,SANGONERA SECA,"AVENIDA DEL COMUN, SANGONERA SECA",DEL COMUN(AVENIDA) en SANGONERA SECA
AV,AVENIDA,DEL MEDITERRANEO,GEA Y TRUYOLS,"AVENIDA DEL MEDITERRANEO, GEA Y TRUYOLS",DEL MEDITERRANEO(AVENIDA) en GEA Y TRUYOLS
AV,AVENIDA,DEL PUNTARRON,SANGONERA SECA,"AVENIDA DEL PUNTARRON, SANGONERA SECA",DEL PUNTARRON(AVENIDA) en SANGONERA SECA
AV,AVENIDA,DE MAZARRON,EL PALMAR,"AVENIDA DE MAZARRON, EL PALMAR",DE MAZARRON(AVENIDA) en EL PALMAR
AV,AVENIDA,DEMOCRACIA,ALJUCER,"AVENIDA DEMOCRACIA, ALJUCER",DEMOCRACIA(AVENIDA) en ALJUCER
AV,AVENIDA,DE MURCIA,CHURRA,"AVENIDA DE MURCIA, CHURRA",DE MURCIA(AVENIDA) en CHURRA
AV,AVENIDA,DOCTOR FLEMING,CHURRA,"AVENIDA DOCTOR FLEMING, CHURRA",DOCTOR FLEMING(AVENIDA) en CHURRA
AV,AVENIDA,DOCTOR PEDRO GUILLEN,MURCIA,"AVENIDA DOCTOR PEDRO GUILLEN, MURCIA",DOCTOR PEDRO GUILLEN(AVENIDA) en MURCIA
AV,AVENIDA,DOLORES,MURCIA,"AVENIDA DOLORES, MURCIA",DOLORES(AVENIDA) en MURCIA
AV,AVENIDA,DON JUAN DE BORBON,MURCIA,"AVENIDA DON JUAN DE BORBON, MURCIA",DON JUAN DE BORBON(AVENIDA) en MURCIA
AV,AVENIDA,DR PASCUAL PARRILLA PARIC,MURCIA,"AVENIDA DR PASCUAL PARRILLA PARIC, MURCIA",DR PASCUAL PARRILLA PARIC(AVENIDA) en MURCIA
AV,AVENIDA,ENRIQUE TIERNO GALVAN,PUNTAL EL,"AVENIDA ENRIQUE TIERNO GALVAN, PUNTAL EL",ENRIQUE TIERNO GALVAN(AVENIDA) en PUNTAL EL
AV,AVENIDA,ESCULTOR ANTONIO CAMPILLO,MURCIA,"AVENIDA ESCULTOR ANTONIO CAMPILLO, MURCIA",ESCULTOR ANTONIO CAMPILLO(AVENIDA) en MURCIA
AV,AVENIDA,EUROPA,MURCIA,"AVENIDA EUROPA, MURCIA",EUROPA(AVENIDA) en MURCIA
AV,AVENIDA,EUSEBIA GOMEZ,MARTINEZ PUERTO,"AVENIDA EUSEBIA GOMEZ, MARTINEZ PUERTO",EUSEBIA GOMEZ(AVENIDA) en MARTINEZ PUERTO
AV,AVENIDA,FABIAN ESCRIBANO,BENIAJAN,"AVENIDA FABIAN ESCRIBANO, BENIAJAN",FABIAN ESCRIBANO(AVENIDA) en BENIAJAN
AV,AVENIDA,FAMA,MURCIA,"AVENIDA FAMA, MURCIA",FAMA(AVENIDA) en MURCIA
AV,AVENIDA,FEDERICO GARCIA LORCA,GEA Y TRUYOLS,"AVENIDA FEDERICO GARCIA LORCA, GEA Y TRUYOLS",FEDERICO GARCIA LORCA(AVENIDA) en GEA Y TRUYOLS
AV,AVENIDA,FEDERICO GUIRAO,BENIAJAN,"AVENIDA FEDERICO GUIRAO, BENIAJAN",FEDERICO GUIRAO(AVENIDA) en BENIAJAN
AV,AVENIDA,FLOTA,MURCIA,"AVENIDA FLOTA, MURCIA",FLOTA(AVENIDA) en MURCIA
AV,AVENIDA,FRANCISCO JIMENEZ RUIZ,MURCIA,"AVENIDA FRANCISCO JIMENEZ RUIZ, MURCIA",FRANCISCO JIMENEZ RUIZ(AVENIDA) en MURCIA
AV,AVENIDA,FRONDOSO VALLEY-TORREGUIL,SANGONERA VERDE,"AVENIDA FRONDOSO VALLEY-TORREGUIL, SANGONERA VERDE",FRONDOSO VALLEY-TORREGUIL(AVENIDA) en SANGONERA VERDE
AV,AVENIDA,GENERAL ORTIN,MURCIA,"AVENIDA GENERAL ORTIN, MURCIA",GENERAL ORTIN(AVENIDA) en MURCIA
AV,AVENIDA,GENERAL PRIMO RIVERA,MURCIA,"AVENIDA GENERAL PRIMO RIVERA, MURCIA",GENERAL PRIMO RIVERA(AVENIDA) en MURCIA
AV,AVENIDA,GLORIETA,CHURRA,"AVENIDA GLORIETA, CHURRA",GLORIETA(AVENIDA) en CHURRA
AV,AVENIDA,GRAL JOSE M GOMEZ TORRES,ALJUCER,"AVENIDA GRAL JOSE M GOMEZ TORRES, ALJUCER",GRAL JOSE M GOMEZ TORRES(AVENIDA) en ALJUCER
AV,AVENIDA,HUERTA DE LA,GUADALUPE,"AVENIDA HUERTA DE LA, GUADALUPE",HUERTA DE LA(AVENIDA) en GUADALUPE
AV,AVENIDA,HUERTO SAN BLAS,TORREAGUERA,"AVENIDA HUERTO SAN BLAS, TORREAGUERA",HUERTO SAN BLAS(AVENIDA) en TORREAGUERA
AV,AVENIDA,INFANTE JUAN MANUEL,MURCIA,"AVENIDA INFANTE JUAN MANUEL, MURCIA",INFANTE JUAN MANUEL(AVENIDA) en MURCIA
AV,AVENIDA,INGENIERO JOSE ALEGRIA,ZARANDONA,"AVENIDA INGENIERO JOSE ALEGRIA, ZARANDONA",INGENIERO JOSE ALEGRIA(AVENIDA) en ZARANDONA
AV,AVENIDA,INTENDENTE JORGE PALACIOS,MURCIA,"AVENIDA INTENDENTE JORGE PALACIOS, MURCIA",INTENDENTE JORGE PALACIOS(AVENIDA) en MURCIA
AV,AVENIDA,JAIME GESTOSO,GEA Y TRUYOLS,"AVENIDA JAIME GESTOSO, GEA Y TRUYOLS",JAIME GESTOSO(AVENIDA) en GEA Y TRUYOLS
AV,AVENIDA,JAIME I CONQUISTADOR,MURCIA,"AVENIDA JAIME I CONQUISTADOR, MURCIA",JAIME I CONQUISTADOR(AVENIDA) en MURCIA
AV,AVENIDA,JARDINES DEL PRINCIPE,ZARANDONA,"AVENIDA JARDINES DEL PRINCIPE, ZARANDONA",JARDINES DEL PRINCIPE(AVENIDA) en ZARANDONA
AV,AVENIDA,JERONIMOS,GUADALUPE,"AVENIDA JERONIMOS, GUADALUPE",JERONIMOS(AVENIDA) en GUADALUPE
AV,AVENIDA,JESUS MTNEZ CORTADO,PUNTAL EL,"AVENIDA JESUS MTNEZ CORTADO, PUNTAL EL",JESUS MTNEZ CORTADO(AVENIDA) en PUNTAL EL
AV,AVENIDA,JOSE BAUTISTA FRUTOS,PUNTAL EL,"AVENIDA JOSE BAUTISTA FRUTOS, PUNTAL EL",JOSE BAUTISTA FRUTOS(AVENIDA) en PUNTAL EL
AV,AVENIDA,JOSE MARIA GUILLAMON,TORREAGUERA,"AVENIDA JOSE MARIA GUILLAMON, TORREAGUERA",JOSE MARIA GUILLAMON(AVENIDA) en TORREAGUERA
AV,AVENIDA,JOVEN FUTURA,ESPINARDO,"AVENIDA JOVEN FUTURA, ESPINARDO",JOVEN FUTURA(AVENIDA) en ESPINARDO
AV,AVENIDA,JUANA JUGAN,MURCIA,"AVENIDA JUANA JUGAN, MURCIA",JUANA JUGAN(AVENIDA) en MURCIA
AV,AVENIDA,JUAN ANTONIO PEREA,MURCIA,"AVENIDA JUAN ANTONIO PEREA, MURCIA",JUAN ANTONIO PEREA(AVENIDA) en MURCIA
AV,AVENIDA,JUAN CARLOS I,CORVERA,"AVENIDA JUAN CARLOS I, CORVERA",JUAN CARLOS I(AVENIDA) en CORVERA
AV,AVENIDA,JUAN CARLOS I,GARRES LOS,"AVENIDA JUAN CARLOS I, GARRES LOS",JUAN CARLOS I(AVENIDA) en GARRES LOS
AV,AVENIDA,JUAN CARLOS I,GUADALUPE,"AVENIDA JUAN CARLOS I, GUADALUPE",JUAN CARLOS I(AVENIDA) en GUADALUPE
AV,AVENIDA,JUAN CARLOS I,MARTINEZ PUERTO,"AVENIDA JUAN CARLOS I, MARTINEZ PUERTO",JUAN CARLOS I(AVENIDA) en MARTINEZ PUERTO
AV,AVENIDA,JUAN CARLOS I,MURCIA,"AVENIDA JUAN CARLOS I, MURCIA",JUAN CARLOS I(AVENIDA) en MURCIA
AV,AVENIDA,JUAN CARLOS I,RAMOS LOS,"AVENIDA JUAN CARLOS I, RAMOS LOS",JUAN CARLOS I(AVENIDA) en RAMOS LOS
AV,AVENIDA,JUAN CARLOS I,SANTO ANGEL,"AVENIDA JUAN CARLOS I, SANTO ANGEL",JUAN CARLOS I(AVENIDA) en SANTO ANGEL
AV,AVENIDA,JUAN CARLOS I,ZENETA,"AVENIDA JUAN CARLOS I, ZENETA",JUAN CARLOS I(AVENIDA) en ZENETA
AV,AVENIDA,JUAN CIERVA,MURCIA,"AVENIDA JUAN CIERVA, MURCIA",JUAN CIERVA(AVENIDA) en MURCIA
AV,AVENIDA,JUAN PABLO II,MURCIA,"AVENIDA JUAN PABLO II, MURCIA",JUAN PABLO II(AVENIDA) en MURCIA
AV,AVENIDA,JUAN RAMON JIMENEZ,ESPARRAGAL,"AVENIDA JUAN RAMON JIMENEZ, ESPARRAGAL",JUAN RAMON JIMENEZ(AVENIDA) en ESPARRAGAL
AV,AVENIDA,JUAN XXIII,CABEZO TORRES,"AVENIDA JUAN XXIII, CABEZO TORRES",JUAN XXIII(AVENIDA) en CABEZO TORRES
AV,AVENIDA,JUSTICIA DE LA,MURCIA,"AVENIDA JUSTICIA DE LA, MURCIA",JUSTICIA DE LA(AVENIDA) en MURCIA
AV,AVENIDA,JUSTO QUESADA,JERON.-AVILESES,"AVENIDA JUSTO QUESADA, JERON.-AVILESES",JUSTO QUESADA(AVENIDA) en JERON.-AVILESES
AV,AVENIDA,JUVENTUD,CABEZO TORRES,"AVENIDA JUVENTUD, CABEZO TORRES",JUVENTUD(AVENIDA) en CABEZO TORRES
AV,AVENIDA,LA RAYA,RINCON SECA,"AVENIDA LA RAYA, RINCON SECA",LA RAYA(AVENIDA) en RINCON SECA
AV,AVENIDA,LEVANTE,MURCIA,"AVENIDA LEVANTE, MURCIA",LEVANTE(AVENIDA) en MURCIA
AV,AVENIDA,LIBERTAD,CASILLAS,"AVENIDA LIBERTAD, CASILLAS",LIBERTAD(AVENIDA) en CASILLAS
AV,AVENIDA,LIBERTAD DE LA,SAN GINES,"AVENIDA LIBERTAD DE LA, SAN GINES",LIBERTAD DE LA(AVENIDA) en SAN GINES
AV,AVENIDA,LIBERTAD,EL PALMAR,"AVENIDA LIBERTAD, EL PALMAR",LIBERTAD(AVENIDA) en EL PALMAR
AV,AVENIDA,LIBERTAD,GUADALUPE,"AVENIDA LIBERTAD, GUADALUPE",LIBERTAD(AVENIDA) en GUADALUPE
AV,AVENIDA,LIBERTAD,JERON.-AVILESES,"AVENIDA LIBERTAD, JERON.-AVILESES",LIBERTAD(AVENIDA) en JERON.-AVILESES
AV,AVENIDA,LIBERTAD,MURCIA,"AVENIDA LIBERTAD, MURCIA",LIBERTAD(AVENIDA) en MURCIA
AV,AVENIDA,LIBERTAD,RAMOS LOS,"AVENIDA LIBERTAD, RAMOS LOS",LIBERTAD(AVENIDA) en RAMOS LOS
AV,AVENIDA,LIBERTAD,SAN BENITO,"AVENIDA LIBERTAD, SAN BENITO",LIBERTAD(AVENIDA) en SAN BENITO
AV,AVENIDA,LIBERTAD,SANGONERA VERDE,"AVENIDA LIBERTAD, SANGONERA VERDE",LIBERTAD(AVENIDA) en SANGONERA VERDE
AV,AVENIDA,LIBERTAD,SAN JOSE,"AVENIDA LIBERTAD, SAN JOSE",LIBERTAD(AVENIDA) en SAN JOSE
AV,AVENIDA,LIBERTAD,SUCINA,"AVENIDA LIBERTAD, SUCINA",LIBERTAD(AVENIDA) en SUCINA
AV,AVENIDA,LIDOS,MONTEAGUDO,"AVENIDA LIDOS, MONTEAGUDO",LIDOS(AVENIDA) en MONTEAGUDO
AV,AVENIDA,LOPE VEGA,MURCIA,"AVENIDA LOPE VEGA, MURCIA",LOPE VEGA(AVENIDA) en MURCIA
AV,AVENIDA,LORCA,SANGONERA SECA,"AVENIDA LORCA, SANGONERA SECA",LORCA(AVENIDA) en SANGONERA SECA
AV,AVENIDA,LOS CARROS,GEA Y TRUYOLS,"AVENIDA LOS CARROS, GEA Y TRUYOLS",LOS CARROS(AVENIDA) en GEA Y TRUYOLS
AV,AVENIDA,MADRID,PUNTAL EL,"AVENIDA MADRID, PUNTAL EL",MADRID(AVENIDA) en PUNTAL EL
AV,AVENIDA,MAESTROS LOS,BENIAJAN,"AVENIDA MAESTROS LOS, BENIAJAN",MAESTROS LOS(AVENIDA) en BENIAJAN
AV,AVENIDA,MAJAL BLANCO -TORREGUIL,SANGONERA VERDE,"AVENIDA MAJAL BLANCO -TORREGUIL, SANGONERA VERDE",MAJAL BLANCO -TORREGUIL(AVENIDA) en SANGONERA VERDE
AV,AVENIDA,MANUEL GALAN,JERON.-AVILESES,"AVENIDA MANUEL GALAN, JERON.-AVILESES",MANUEL GALAN(AVENIDA) en JERON.-AVILESES
AV,AVENIDA,MARIANO ROJAS,MURCIA,"AVENIDA MARIANO ROJAS, MURCIA",MARIANO ROJAS(AVENIDA) en MURCIA
AV,AVENIDA,MARIANO ROJAS,PUENTE TOCINOS,"AVENIDA MARIANO ROJAS, PUENTE TOCINOS",MARIANO ROJAS(AVENIDA) en PUENTE TOCINOS
AV,AVENIDA,MARIAS LAS,SUCINA,"AVENIDA MARIAS LAS, SUCINA",MARIAS LAS(AVENIDA) en SUCINA
AV,AVENIDA,MARQUES DE ESPINARDO,ESPINARDO,"AVENIDA MARQUES DE ESPINARDO, ESPINARDO",MARQUES DE ESPINARDO(AVENIDA) en ESPINARDO
AV,AVENIDA,MARQUES VELEZ,MURCIA,"AVENIDA MARQUES VELEZ, MURCIA",MARQUES VELEZ(AVENIDA) en MURCIA
AV,AVENIDA,MARTIRES,MURCIA,"AVENIDA MARTIRES, MURCIA",MARTIRES(AVENIDA) en MURCIA
AV,AVENIDA,MERCAMURCIA,EL PALMAR,"AVENIDA MERCAMURCIA, EL PALMAR",MERCAMURCIA(AVENIDA) en EL PALMAR
AV,AVENIDA,MIGUEL ANGEL BLANCO,MURCIA,"AVENIDA MIGUEL ANGEL BLANCO, MURCIA",MIGUEL ANGEL BLANCO(AVENIDA) en MURCIA
AV,AVENIDA,MIGUEL DE CERVANTES,MURCIA,"AVENIDA MIGUEL DE CERVANTES, MURCIA",MIGUEL DE CERVANTES(AVENIDA) en MURCIA
AV,AVENIDA,MIGUEL INDURAIN,MURCIA,"AVENIDA MIGUEL INDURAIN, MURCIA",MIGUEL INDURAIN(AVENIDA) en MURCIA
AV,AVENIDA,MONTEAGUDO,CASILLAS,"AVENIDA MONTEAGUDO, CASILLAS",MONTEAGUDO(AVENIDA) en CASILLAS
AV,AVENIDA,MONTEAZAHAR,BENIAJAN,"AVENIDA MONTEAZAHAR, BENIAJAN",MONTEAZAHAR(AVENIDA) en BENIAJAN
AV,AVENIDA,MONTE CARMELO,MURCIA,"AVENIDA MONTE CARMELO, MURCIA",MONTE CARMELO(AVENIDA) en MURCIA
AV,AVENIDA,MONTEGRANDE-SECANO,TORREAGUERA,"AVENIDA MONTEGRANDE-SECANO, TORREAGUERA",MONTEGRANDE-SECANO(AVENIDA) en TORREAGUERA
AV,AVENIDA,MURCIA,CABEZO TORRES,"AVENIDA MURCIA, CABEZO TORRES",MURCIA(AVENIDA) en CABEZO TORRES
AV,AVENIDA,MURCIA,PUEBLA DE SOTO,"AVENIDA MURCIA, PUEBLA DE SOTO",MURCIA(AVENIDA) en PUEBLA DE SOTO
AV,AVENIDA,MURCIA,RAMOS LOS,"AVENIDA MURCIA, RAMOS LOS",MURCIA(AVENIDA) en RAMOS LOS
AV,AVENIDA,NARCISOS,COBATILLAS,"AVENIDA NARCISOS, COBATILLAS",NARCISOS(AVENIDA) en COBATILLAS
AV,AVENIDA,NIETAS LAS,SUCINA,"AVENIDA NIETAS LAS, SUCINA",NIETAS LAS(AVENIDA) en SUCINA
AV,AVENIDA,PADRE MARTINEZ,RAYA LA,"AVENIDA PADRE MARTINEZ, RAYA LA",PADRE MARTINEZ(AVENIDA) en RAYA LA
AV,AVENIDA,PALMAR DEL,MURCIA,"AVENIDA PALMAR DEL, MURCIA",PALMAR DEL(AVENIDA) en MURCIA
AV,AVENIDA,PALMERAL DE ZARAICHE,MURCIA,"AVENIDA PALMERAL DE ZARAICHE, MURCIA",PALMERAL DE ZARAICHE(AVENIDA) en MURCIA
AV,AVENIDA,PALMERAS,EL PALMAR,"AVENIDA PALMERAS, EL PALMAR",PALMERAS(AVENIDA) en EL PALMAR
AV,AVENIDA,PALMITOS,SUCINA,"AVENIDA PALMITOS, SUCINA",PALMITOS(AVENIDA) en SUCINA
AV,AVENIDA,PALOMA,ERA ALTA,"AVENIDA PALOMA, ERA ALTA",PALOMA(AVENIDA) en ERA ALTA
AV,AVENIDA,PARQUE CHURRA-THADER,CHURRA,"AVENIDA PARQUE CHURRA-THADER, CHURRA",PARQUE CHURRA-THADER(AVENIDA) en CHURRA
AV,AVENIDA,PATRICIO VALVERDE ESPIN,MURCIA,"AVENIDA PATRICIO VALVERDE ESPIN, MURCIA",PATRICIO VALVERDE ESPIN(AVENIDA) en MURCIA
AV,AVENIDA,PATRULLA AGUILA,MURCIA,"AVENIDA PATRULLA AGUILA, MURCIA",PATRULLA AGUILA(AVENIDA) en MURCIA
AV,AVENIDA,PAZ,EL PALMAR,"AVENIDA PAZ, EL PALMAR",PAZ(AVENIDA) en EL PALMAR
AV,AVENIDA,PEDRO DIAZ CASSOU,MONTEAGUDO,"AVENIDA PEDRO DIAZ CASSOU, MONTEAGUDO",PEDRO DIAZ CASSOU(AVENIDA) en MONTEAGUDO
