codigo,TipoVia,NombreVia,barrio,via,ViaCatastro
CL,CALLE,FRANCISCO GALERA DEL CERR,PUEBLA DE SOTO,"CALLE FRANCISCO GALERA DEL CERR, PUEBLA DE SOTO",FRANCISCO GALERA DEL CERR(CALLE) en PUEBLA DE SOTO
CL,CALLE,FRANCISCO GARCIA MANTE,LOBOSILLO,"CALLE FRANCISCO GARCIA MANTE, LOBOSILLO",FRANCISCO GARCIA MANTE(CALLE) en LOBOSILLO
CL,CALLE,FRANCISCO GILABERT,ALGEZARES,"CALLE FRANCISCO GILABERT, ALGEZARES",FRANCISCO GILABERT(CALLE) en ALGEZARES
CL,CALLE,FRANCISCO GIL PEREZ,CORVERA,"CALLE FRANCISCO GIL PEREZ, CORVERA",FRANCISCO GIL PEREZ(CALLE) en CORVERA
CL,CALLE,FRANCISCO GUILLEN,ZARANDONA,"CALLE FRANCISCO GUILLEN, ZARANDONA",FRANCISCO GUILLEN(CALLE) en ZARANDONA
CL,CALLE,FRANCISCO JOSE DE GOYA,MARTINEZ PUERTO,"CALLE FRANCISCO JOSE DE GOYA, MARTINEZ PUERTO",FRANCISCO JOSE DE GOYA(CALLE) en MARTINEZ PUERTO
CL,CALLE,FRANCISCO LIZAN,GUADALUPE,"CALLE FRANCISCO LIZAN, GUADALUPE",FRANCISCO LIZAN(CALLE) en GUADALUPE
CL,CALLE,FRANCISCO LOPEZ,MURCIA,"CALLE FRANCISCO LOPEZ, MURCIA",FRANCISCO LOPEZ(CALLE) en MURCIA
CL,CALLE,FRANCISCO MARIN EGEA,SAN BENITO,"CALLE FRANCISCO MARIN EGEA, SAN BENITO",FRANCISCO MARIN EGEA(CALLE) en SAN BENITO
CL,CALLE,FRANCISCO MARTINEZ GARCIA,MURCIA,"CALLE FRANCISCO MARTINEZ GARCIA, MURCIA",FRANCISCO MARTINEZ GARCIA(CALLE) en MURCIA
CL,CALLE,FRANCISCO MONCADA,CABEZO TORRES,"CALLE FRANCISCO MONCADA, CABEZO TORRES",FRANCISCO MONCADA(CALLE) en CABEZO TORRES
CL,CALLE,FRANCISCO MORENO MTNEZ,ALGEZARES,"CALLE FRANCISCO MORENO MTNEZ, ALGEZARES",FRANCISCO MORENO MTNEZ(CALLE) en ALGEZARES
CL,CALLE,FRANCISCO NADAL,RAYA LA,"CALLE FRANCISCO NADAL, RAYA LA",FRANCISCO NADAL(CALLE) en RAYA LA
CL,CALLE,FRANCISCO NOGUERA,BENIAJAN,"CALLE FRANCISCO NOGUERA, BENIAJAN",FRANCISCO NOGUERA(CALLE) en BENIAJAN
CL,CALLE,FRANCISCO ORELLANA,MURCIA,"CALLE FRANCISCO ORELLANA, MURCIA",FRANCISCO ORELLANA(CALLE) en MURCIA
CL,CALLE,FRANCISCO PARDO,SAN JOSE,"CALLE FRANCISCO PARDO, SAN JOSE",FRANCISCO PARDO(CALLE) en SAN JOSE
CL,CALLE,FRANCISCO PAREDES,PUENTE TOCINOS,"CALLE FRANCISCO PAREDES, PUENTE TOCINOS",FRANCISCO PAREDES(CALLE) en PUENTE TOCINOS
CL,CALLE,FRANCISCO PIZARRO,EL BOJAR,"CALLE FRANCISCO PIZARRO, EL BOJAR",FRANCISCO PIZARRO(CALLE) en EL BOJAR
CL,CALLE,FRANCISCO PIZARRO,GUADALUPE,"CALLE FRANCISCO PIZARRO, GUADALUPE",FRANCISCO PIZARRO(CALLE) en GUADALUPE
CL,CALLE,FRANCISCO PIZARRO,SANGONERA SECA,"CALLE FRANCISCO PIZARRO, SANGONERA SECA",FRANCISCO PIZARRO(CALLE) en SANGONERA SECA
CL,CALLE,FRANCISCO PIZARRO,SANTO ANGEL,"CALLE FRANCISCO PIZARRO, SANTO ANGEL",FRANCISCO PIZARRO(CALLE) en SANTO ANGEL
CL,CALLE,FRANCISCO RABAL,CABEZO TORRES,"CALLE FRANCISCO RABAL, CABEZO TORRES",FRANCISCO RABAL(CALLE) en CABEZO TORRES
CL,CALLE,FRANCISCO RABAL,ERA ALTA,"CALLE FRANCISCO RABAL, ERA ALTA",FRANCISCO RABAL(CALLE) en ERA ALTA
CL,CALLE,FRANCISCO RABAL,MURCIA,"CALLE FRANCISCO RABAL, MURCIA",FRANCISCO RABAL(CALLE) en MURCIA
CL,CALLE,FRANCISCO RABAL,SANGONERA SECA,"CALLE FRANCISCO RABAL, SANGONERA SECA",FRANCISCO RABAL(CALLE) en SANGONERA SECA
CL,CALLE,FRANCISCO SALZILLO,RAMOS LOS,"CALLE FRANCISCO SALZILLO, RAMOS LOS",FRANCISCO SALZILLO(CALLE) en RAMOS LOS
CL,CALLE,FRANCISCO ZURBARAN,MURCIA,"CALLE FRANCISCO ZURBARAN, MURCIA",FRANCISCO ZURBARAN(CALLE) en MURCIA
CL,CALLE,FRATERNIDAD,ALBERCA LA,"CALLE FRATERNIDAD, ALBERCA LA",FRATERNIDAD(CALLE) en ALBERCA LA
CL,CALLE,FRAY CANUTO,ALJUCER,"CALLE FRAY CANUTO, ALJUCER",FRAY CANUTO(CALLE) en ALJUCER
CL,CALLE,FRENERIA,MURCIA,"CALLE FRENERIA, MURCIA",FRENERIA(CALLE) en MURCIA
CL,CALLE,FRONTON,SUCINA,"CALLE FRONTON, SUCINA",FRONTON(CALLE) en SUCINA
CL,CALLE,FRUTOS BAEZA,ALJUCER,"CALLE FRUTOS BAEZA, ALJUCER",FRUTOS BAEZA(CALLE) en ALJUCER
CL,CALLE,FRUTOS BAEZA,LAS LUMBRERAS,"CALLE FRUTOS BAEZA, LAS LUMBRERAS",FRUTOS BAEZA(CALLE) en LAS LUMBRERAS
CL,CALLE,FRUTOS BAEZA,MURCIA,"CALLE FRUTOS BAEZA, MURCIA",FRUTOS BAEZA(CALLE) en MURCIA
CL,CALLE,FRUTOS BAEZA,SANTO ANGEL,"CALLE FRUTOS BAEZA, SANTO ANGEL",FRUTOS BAEZA(CALLE) en SANTO ANGEL
CL,CALLE,FRUTOS MORENO,PUENTE TOCINOS,"CALLE FRUTOS MORENO, PUENTE TOCINOS",FRUTOS MORENO(CALLE) en PUENTE TOCINOS
CL,CALLE,FUENSANTA,ALBERCA LA,"CALLE FUENSANTA, ALBERCA LA",FUENSANTA(CALLE) en ALBERCA LA
CL,CALLE,FUENSANTA,ALJUCER,"CALLE FUENSANTA, ALJUCER",FUENSANTA(CALLE) en ALJUCER
CL,CALLE,FUENSANTA,ALQUERIAS,"CALLE FUENSANTA, ALQUERIAS",FUENSANTA(CALLE) en ALQUERIAS
CL,CALLE,FUENSANTA,BARQUEROS,"CALLE FUENSANTA, BARQUEROS",FUENSANTA(CALLE) en BARQUEROS
CL,CALLE,FUENSANTA,CABEZO TORRES,"CALLE FUENSANTA, CABEZO TORRES",FUENSANTA(CALLE) en CABEZO TORRES
CL,CALLE,FUENSANTA,CASILLAS,"CALLE FUENSANTA, CASILLAS",FUENSANTA(CALLE) en CASILLAS
CL,CALLE,FUENSANTA,CHURRA,"CALLE FUENSANTA, CHURRA",FUENSANTA(CALLE) en CHURRA
CL,CALLE,FUENSANTA,CORVERA,"CALLE FUENSANTA, CORVERA",FUENSANTA(CALLE) en CORVERA
CL,CALLE,FUENSANTA (ESPINARDO),MURCIA,"CALLE FUENSANTA (ESPINARDO), MURCIA",FUENSANTA (ESPINARDO)(CALLE) en MURCIA
CL,CALLE,FUENSANTA,GARRES LOS,"CALLE FUENSANTA, GARRES LOS",FUENSANTA(CALLE) en GARRES LOS
CL,CALLE,FUENSANTA,GUADALUPE,"CALLE FUENSANTA, GUADALUPE",FUENSANTA(CALLE) en GUADALUPE
CL,CALLE,FUENSANTA,JAVALI VIEJO,"CALLE FUENSANTA, JAVALI VIEJO",FUENSANTA(CALLE) en JAVALI VIEJO
CL,CALLE,FUENSANTA,JERON.-AVILESES,"CALLE FUENSANTA, JERON.-AVILESES",FUENSANTA(CALLE) en JERON.-AVILESES
CL,CALLE,FUENSANTA,MURCIA,"CALLE FUENSANTA, MURCIA",FUENSANTA(CALLE) en MURCIA
CL,CALLE,FUENSANTA,PUENTE TOCINOS,"CALLE FUENSANTA, PUENTE TOCINOS",FUENSANTA(CALLE) en PUENTE TOCINOS
CL,CALLE,FUENSANTA,PUNTAL EL,"CALLE FUENSANTA, PUNTAL EL",FUENSANTA(CALLE) en PUNTAL EL
CL,CALLE,FUENSANTA,RAAL EL,"CALLE FUENSANTA, RAAL EL",FUENSANTA(CALLE) en RAAL EL
CL,CALLE,FUENSANTA,RINCON SECA,"CALLE FUENSANTA, RINCON SECA",FUENSANTA(CALLE) en RINCON SECA
CL,CALLE,FUENSANTA,SAN BENITO,"CALLE FUENSANTA, SAN BENITO",FUENSANTA(CALLE) en SAN BENITO
CL,CALLE,FUENSANTA,SANGONERA SECA,"CALLE FUENSANTA, SANGONERA SECA",FUENSANTA(CALLE) en SANGONERA SECA
CL,CALLE,FUENSANTA,SANGONERA VERDE,"CALLE FUENSANTA, SANGONERA VERDE",FUENSANTA(CALLE) en SANGONERA VERDE
CL,CALLE,FUENSANTA,TORREAGUERA,"CALLE FUENSANTA, TORREAGUERA",FUENSANTA(CALLE) en TORREAGUERA
